time_s,position_m,velocity_m_s,left_thrust_N,right_thrust_N
1.9166667,7.2695923,7.5202679,8980.38,0
1.9333333,7.39602,7.5856616,8980.38,0
1.95,7.5235376,7.6510552,8980.38,0
1.9666667,7.6521451,7.7164488,8980.38,0
1.9833333,7.7818425,7.7818425,8980.38,0
2,7.9126298,7.8472361,8980.38,0
2.0166667,8.0445069,7.9126297,8980.38,0
2.0333333,8.177474,7.9780234,8980.38,0
2.05,8.3115309,8.043417,8980.38,0
2.0666667,8.4466778,8.1088107,8980.38,0
2.0833333,8.5829145,8.1742043,8980.38,0
2.1,8.7202411,8.2395979,8980.38,0
2.1166667,8.8586577,8.3049916,8980.38,0
2.1333333,8.9981641,8.3703852,8980.38,0
2.15,9.1387604,8.4357788,8980.38,0
2.1666667,9.2804466,8.5011725,8980.38,0
2.1833333,9.4232227,8.5665661,8980.38,0
2.2,9.5670887,8.6319597,8980.38,0
2.2166667,9.7120446,8.6973534,8980.38,0
2.2333333,9.8580904,8.762747,8980.38,0
2.25,10.005226,8.8281406,8980.38,0
2.2666667,10.153452,8.8935343,8980.38,0
2.2833333,10.302767,8.9589279,8980.38,0
2.3,10.453172,9.0243215,8980.38,0
2.3166667,10.604668,9.0897152,8980.38,0
2.3333333,10.757253,9.1551088,8980.38,0
2.35,10.910928,9.2205024,8980.38,0
2.3666667,11.065693,9.2858961,8980.38,0
2.3833333,11.221548,9.3512897,8980.38,0
2.4,11.378492,9.4166833,8980.38,0
2.4166667,11.536527,9.482077,8980.38,0
2.4333333,11.695651,9.5474706,8980.38,0
2.45,11.855866,9.6128642,8980.38,0
2.4666667,12.01717,9.6782579,8980.38,0
2.4833333,12.179564,9.7436515,8980.38,0
2.5,12.343048,9.8090451,8980.38,0
2.5166667,12.507622,9.8744388,8980.38,0
2.5333333,12.673286,9.9398324,8980.38,0
2.55,12.84004,10.005226,8980.38,0
2.5666667,13.007884,10.07062,8980.38,0
2.5833333,13.176817,10.136013,8980.38,0
2.6,13.346841,10.201407,8980.38,0
2.6166667,13.517954,10.266801,8980.38,0
2.6333333,13.690157,10.332194,8980.38,0
2.65,13.86345,10.397588,8980.38,0
2.6666667,14.037833,10.462981,8980.38,0
2.6833333,14.213306,10.528375,8980.38,0
2.7,14.389869,10.593769,8980.38,0
2.7166667,14.567522,10.659162,8980.38,0
2.7333333,14.746265,10.724556,8980.38,0
2.75,14.926097,10.78995,8980.38,0
2.7666667,15.107019,10.855343,8980.38,0
2.7833333,15.289032,10.920737,8980.38,0
2.8,15.472134,10.986131,8980.38,0
2.8166667,15.656326,11.051524,8980.38,0
2.8333333,15.841608,11.116918,8980.38,0
2.85,16.02798,11.182311,8980.38,0
2.8666667,16.215442,11.247705,8980.38,0
2.8833333,16.403993,11.313099,8980.38,0
2.9,16.593635,11.378492,8980.38,0
2.9166667,16.784366,11.443886,8980.38,0
2.9333333,16.976187,11.50928,8980.38,0
2.95,17.169099,11.574673,8980.38,0
2.9666667,17.3631,11.640067,8980.38,0
2.9833333,17.558191,11.705461,8980.38,0
3,17.754372,11.770854,8980.38,0
3.0166667,17.951643,11.836248,8980.38,0
3.0333333,18.150003,11.901641,8980.38,0
3.05,18.349454,11.967035,8980.38,0
3.0666667,18.549994,12.032429,8980.38,0
3.0833333,18.751625,12.097822,8980.38,0
3.1,18.954345,12.163216,8980.38,0
3.1166667,19.158155,12.22861,8980.38,0
3.1333333,19.363055,12.294003,8980.38,0
3.15,19.569045,12.359397,8980.38,0
3.1666667,19.776125,12.424791,8980.38,0
3.1833333,19.984295,12.490184,8980.38,0
3.2,20.193554,12.555578,8980.38,0
3.2166667,20.403904,12.620971,8980.38,0
3.2333333,20.615343,12.686365,8980.38,0
3.25,20.827873,12.751759,8980.38,0
3.2666667,21.041492,12.817152,8980.38,0
3.2833333,21.256201,12.882546,8980.38,0
3.3,21.472,12.94794,8980.38,0
3.3166667,21.688889,13.013333,8980.38,0
3.3333333,21.906867,13.078727,8980.38,0
3.35,22.125936,13.144121,8980.38,0
3.3666667,22.346095,13.209514,8980.38,0
3.3833333,22.567343,13.274908,8980.38,0
3.4,22.789682,13.340301,8980.38,0
3.4166667,23.01311,13.405695,8980.38,0
3.4333333,23.237628,13.471089,8980.38,0
3.45,23.463236,13.536482,8980.38,0
3.4666667,23.689934,13.601876,8980.38,0
3.4833333,23.917722,13.66727,8980.38,0
3.5,24.146599,13.732663,8980.38,0
3.5166667,24.376567,13.798057,8980.38,0
3.5333333,24.607625,13.86345,8980.38,0
3.55,24.839772,13.928844,8980.38,0
3.5666667,25.073009,13.994238,8980.38,0
3.5833333,25.307336,14.059631,8980.38,0
3.6,25.542754,14.125025,8980.38,0
3.6166667,25.779261,14.190419,8980.38,0
3.6333333,26.016857,14.255812,8980.38,0
3.65,26.255544,14.321206,8980.38,0
3.6666667,26.495321,14.3866,8980.38,0
3.6833333,26.736187,14.451993,8980.38,0
3.7,26.978144,14.517387,8980.38,0
3.7166667,27.22119,14.58278,8980.38,0
3.7333333,27.465326,14.648174,8980.38,0
3.75,27.710553,14.713568,8980.38,0
3.7666667,27.956869,14.778961,8980.38,0
3.7833333,28.204274,14.844355,8980.38,0
3.8,28.45277,14.909749,8980.38,0
3.8166667,28.702356,14.975142,8980.38,0
3.8333333,28.953032,15.040536,8980.38,0
3.85,29.204797,15.10593,8980.38,0
3.8666667,29.457647,15.17101,8939.7575,0
3.8833333,29.711567,15.235213,8825.6507,0
3.9,29.966543,15.298539,8711.8846,0
3.9166667,30.22256,15.360991,8598.4612,0
3.9333333,30.479603,15.422573,8485.3825,0
3.95,30.737657,15.483287,8372.6506,0
3.9666667,30.99671,15.543136,8260.2673,0
3.9833333,31.256745,15.602122,8148.2346,0
4,31.517749,15.660248,8036.5545,0
4.0166667,31.779708,15.717516,7925.2288,0
4.0333333,32.042607,15.77393,7814.2594,0
4.05,32.306431,15.829493,7703.6482,0
4.0666667,32.571168,15.884206,7593.397,0
4.0833333,32.836803,15.938073,7483.5076,0
4.1,33.103321,15.991097,7373.9818,0
4.1166667,33.370709,16.043281,7264.8214,0
4.1333333,33.638953,16.094626,7156.0281,0
4.15,33.908038,16.145137,7047.6036,0
4.1666667,34.177952,16.194815,6939.5496,0
4.1833333,34.44868,16.243665,6831.8678,0
4.2,34.720208,16.291688,6724.5598,0
4.2166667,34.992523,16.338888,6617.6273,0
4.2333333,35.26561,16.385267,6511.0719,0
4.25,35.539458,16.430828,6404.8952,0
4.2666667,35.814051,16.475575,6299.0987,0
4.2833333,36.089376,16.519511,6193.684,0
4.3,36.36542,16.562637,6088.6526,0
4.3166667,36.642169,16.604958,5984.006,0
4.3333333,36.91961,16.646475,5879.7457,0
4.35,37.19773,16.687193,5775.8732,0
4.3666667,37.476515,16.727114,5672.3898,0
4.3833333,37.755953,16.766242,5569.297,0
4.4,38.036029,16.804578,5466.5962,0
4.4166667,38.316731,16.842127,5364.2888,0
4.4333333,38.598046,16.87889,5262.3761,0
4.45,38.87996,16.914873,5160.8594,0
4.4666667,39.162462,16.950076,5059.7401,0
4.4833333,39.445537,16.984504,4959.0194,0
4.5,39.729173,17.018159,4858.6986,0
4.5166667,40.013357,17.051045,4758.7791,0
4.5333333,40.298076,17.083165,4659.2618,0
4.55,40.583318,17.114521,4560.1482,0
4.5666667,40.86907,17.145118,4461.4394,0
4.5833333,41.15532,17.174957,4363.1365,0
4.6,41.442054,17.204043,4265.2408,0
4.6166667,41.72926,17.232378,4167.7532,0
4.6333333,42.016926,17.259965,4070.675,0
4.65,42.305039,17.286808,3974.0071,0
4.6666667,42.593588,17.31291,3877.7508,0
4.6833333,42.882559,17.338274,3781.9069,0
4.7,43.171941,17.362903,3686.4766,0
4.7166667,43.461721,17.3868,3591.4609,0
4.7333333,43.751887,17.409969,3496.8607,0
4.75,44.042427,17.432412,3402.6769,0
4.7666667,44.333329,17.454134,3308.9107,0
4.7833333,44.624582,17.475137,3215.5628,0
4.8,44.916172,17.495424,3122.6341,0
4.8166667,45.208089,17.514998,3030.1257,0
4.8333333,45.50032,17.533864,2938.0383,0
4.85,45.792854,17.552024,2846.3727,0
4.8666667,46.085678,17.569481,2755.1299,0
4.8833333,46.378782,17.586239,2664.3106,0
4.9,46.672154,17.602301,2573.9156,0
4.9166667,46.965782,17.61767,2483.9457,0
4.9333333,47.259654,17.63235,2394.4016,0
4.95,47.55376,17.646343,2305.2842,0
4.9666667,47.848088,17.659653,2216.594,0
4.9833333,48.142626,17.672284,2128.3318,0
5,48.437363,17.684238,2040.4983,0
5.0166667,48.732288,17.69552,1953.0941,0
5.0333333,49.02739,17.706131,1866.1199,0
5.05,49.322658,17.716077,1779.5762,0
5.0666667,49.618081,17.725359,1693.4638,0
5.0833333,49.913647,17.733981,1607.7832,0
5.1,50.209346,17.741947,1522.535,0
5.1166667,50.505167,17.74926,1437.7196,0
5.1333333,50.8011,17.755923,1353.3378,0
5.15,51.097132,17.761939,1269.3898,0
5.1666667,51.393254,17.767313,1185.8764,0
5.1833333,51.689454,17.772047,1102.7979,0
5.2,51.985724,17.776144,1020.1548,0
5.2166667,52.28205,17.779608,937.94752,0
5.2333333,52.578424,17.782443,856.17655,0
5.25,52.874835,17.784651,774.84228,0
5.2666667,53.171243,17.784492,0,700.1149
5.2833333,53.467639,17.783723,0,779.3219
5.3,53.764011,17.782348,0,858.09022
5.3166667,54.060351,17.780369,0,936.41956
5.3333333,54.356647,17.777791,0,1014.3097
5.35,54.652891,17.774616,0,1091.7602
5.3666667,54.949072,17.770848,0,1168.7711
5.3833333,55.24518,17.76649,0,1245.3419
5.4,55.541206,17.761547,0,1321.4726
5.4166667,55.837139,17.75602,0,1397.1628
5.4333333,56.132971,17.749914,0,1472.4125
5.45,56.428692,17.743232,0,1547.2215
5.4666667,56.724291,17.735977,0,1621.5895
5.4833333,57.019761,17.728153,0,1695.5166
5.5,57.31509,17.719764,0,1769.0025
5.5166667,57.61027,17.710811,0,1842.0472
5.5333333,57.905292,17.7013,0,1914.6506
5.55,58.200146,17.691233,0,1986.8126
5.5666667,58.494823,17.680614,0,2058.5332
5.5833333,58.789313,17.669445,0,2129.8123
5.6,59.083609,17.657732,0,2200.6499
5.6166667,59.3777,17.645476,0,2271.046
5.6333333,59.671578,17.632682,0,2341.0006
5.65,59.965234,17.619352,0,2410.5137
5.6666667,60.258659,17.60549,0,2479.5854
5.6833333,60.551844,17.5911,0,2548.2158
5.7,60.84478,17.576185,0,2616.4048
5.7166667,61.13746,17.560748,0,2684.1526
5.7333333,61.429873,17.544793,0,2751.4593
5.75,61.722011,17.528323,0,2818.3249
5.7666667,62.013867,17.511342,0,2884.7497
5.7833333,62.305431,17.493852,0,2950.7337
5.8,62.596696,17.475858,0,3016.2772
5.8166667,62.887652,17.457363,0,3081.3802
5.8333333,63.178291,17.438369,0,3146.0429
5.85,63.468606,17.418881,0,3210.2657
5.8666667,63.758588,17.398902,0,3274.0486
5.8833333,64.048228,17.378435,0,3337.3919
5.9,64.33752,17.357484,0,3400.2958
5.9166667,64.626454,17.336051,0,3462.7607
5.9333333,64.915023,17.314141,0,3524.7867
5.95,65.203219,17.291757,0,3586.3741
5.9666667,65.491034,17.268902,0,3647.5233
5.9833333,65.77846,17.24558,0,3708.2345
6,66.06549,17.221793,0,3768.5081
6.0166667,66.352116,17.197546,0,3828.3444
6.0333333,66.63833,17.172841,0,3887.7438
6.05,66.924124,17.147682,0,3946.7065
6.0666667,67.209492,17.122072,0,4005.2331
6.0833333,67.494426,17.096016,0,4063.3238
6.1,67.778918,17.069515,0,4120.9791
6.1166667,68.062961,17.042573,0,4178.1994
6.1333333,68.346547,17.015195,0,4234.985
6.15,68.62967,16.987382,0,4291.3366
6.1666667,68.912323,16.959139,0,4347.2544
6.1833333,69.194497,16.930468,0,4402.739
6.2,69.476187,16.901374,0,4457.7908
6.2166667,69.757384,16.871859,0,4512.4104
6.2333333,70.038083,16.841927,0,4566.5982
6.25,70.318276,16.811581,0,4620.3547
6.2666667,70.597957,16.780824,0,4673.6804
6.2833333,70.877118,16.74966,0,4726.576
6.3,71.155752,16.718092,0,4779.0419
6.3166667,71.433854,16.686123,0,4831.0787
6.3333333,71.711417,16.653757,0,4882.687
6.35,71.988434,16.620997,0,4933.8673
6.3666667,72.264898,16.587846,0,4984.6203
6.3833333,72.540803,16.554307,0,5034.9465
6.4,72.816143,16.520384,0,5084.8466
6.4166667,73.090911,16.48608,0,5134.3212
6.4333333,73.365101,16.451399,0,5183.3709
6.45,73.638706,16.416343,0,5231.9964
6.4666667,73.911722,16.380915,0,5280.1984
6.4833333,74.18414,16.34512,0,5327.9775
6.5,74.455956,16.308961,0,5375.3343
6.5166667,74.727164,16.27244,0,5422.2697
6.5333333,74.997756,16.23556,0,5468.7843
6.55,75.267728,16.198326,0,5514.8788
6.5666667,75.537074,16.16074,0,5560.5539
6.5833333,75.805787,16.122805,0,5605.8104
6.6,76.073863,16.084526,0,5650.649
6.6166667,76.341295,16.045904,0,5695.0705
6.6333333,76.608077,16.006943,0,5739.0757
6.65,76.874204,15.967647,0,5782.6653
6.6666667,77.139671,15.928018,0,5825.84
6.6833333,77.404472,15.88806,0,5868.6008
6.7,77.668602,15.847776,0,5910.9484
6.7166667,77.932055,15.807169,0,5952.8836
6.7333333,78.194826,15.766242,0,5994.4073
6.75,78.456909,15.724999,0,6035.5202
6.7666667,78.7183,15.683442,0,6076.2233
6.7833333,78.978992,15.641575,0,6116.5174
6.8,79.238982,15.599401,0,6156.4033
6.8166667,79.498265,15.556923,0,6195.882
6.8333333,79.756834,15.514144,0,6234.9542
6.85,80.014685,15.471067,0,6273.621
6.8666667,80.271813,15.427695,0,6311.8831
6.8833333,80.528213,15.384032,0,6349.7416
6.9,80.783882,15.340081,0,6387.1973
6.9166667,81.038812,15.295844,0,6424.2511
6.9333333,81.293001,15.251325,0,6460.904
6.95,81.546443,15.206527,0,6497.157
6.9666667,81.799134,15.161453,0,6533.0109
6.9833333,82.051069,15.116106,0,6568.4668
7,82.302244,15.070489,0,6603.5256
7.0166667,82.552654,15.024604,0,6638.1883
7.0333333,82.802295,14.978456,0,6672.4559
7.05,83.051162,14.932048,0,6706.3293
7.0666667,83.299252,14.885381,0,6739.8096
7.0833333,83.54656,14.83846,0,6772.8978
7.1,83.793081,14.791286,0,6805.5949
7.1166667,84.038812,14.743865,0,6837.902
7.1333333,84.283749,14.696197,0,6869.82
7.15,84.527887,14.648286,0,6901.35
7.1666667,84.771223,14.600136,0,6932.493
7.1833333,85.013752,14.551749,0,6963.2502
7.2,85.25547,14.503128,0,6993.6226
7.2166667,85.496375,14.454276,0,7023.6112
7.2333333,85.736462,14.405196,0,7053.2171
7.25,85.975727,14.355891,0,7082.4414
7.2666667,86.214166,14.306364,0,7111.2853
7.2833333,86.451776,14.256617,0,7139.7497
7.3,86.688554,14.206655,0,7167.8359
7.3166667,86.924495,14.156479,0,7195.5449
7.3333333,87.159597,14.106093,0,7222.8778
7.35,87.393855,14.055499,0,7249.8358
7.3666667,87.627267,14.0047,0,7276.4201
7.3833333,87.859828,13.953699,0,7302.6316
7.4,88.091537,13.9025,0,7328.4717
7.4166667,88.322388,13.851104,0,7353.9414
7.4333333,88.55238,13.799515,0,7379.042
7.45,88.781509,13.747736,0,7403.7745
7.4666667,89.009772,13.695769,0,7428.1402
7.4833333,89.237166,13.643617,0,7452.1402
7.5,89.463687,13.591283,0,7475.7757
7.5166667,89.689333,13.53877,0,7499.0479
7.5333333,89.914101,13.486081,0,7521.958
7.55,90.137988,13.433218,0,7544.5073
7.5666667,90.360991,13.380184,0,7566.6968
7.5833333,90.583108,13.326982,0,7588.5279
7.6,90.804335,13.273615,0,7610.0018
7.6166667,91.024669,13.220085,0,7631.1196
7.6333333,91.244109,13.166395,0,7651.8826
7.65,91.462652,13.112548,0,7672.2921
7.6666667,91.680294,13.058546,0,7692.3492
7.6833333,91.897034,13.004393,0,7712.0553
7.7,92.112869,12.950091,0,7731.4116
7.7166667,92.327796,12.895642,0,7750.4193
7.7333333,92.541814,12.84105,0,7769.0797
7.75,92.754919,12.786317,0,7787.3941
7.7666667,92.96711,12.731445,0,7805.3637
7.7833333,93.178384,12.676438,0,7822.9899
7.8,93.388739,12.621297,0,7840.2739
7.8166667,93.598172,12.566026,0,7857.2169
7.8333333,93.806683,12.510627,0,7873.8204
7.85,94.014268,12.455103,0,7890.0855
7.8666667,94.220926,12.399456,0,7906.0136
7.8833333,94.426654,12.343689,0,7921.606
7.9,94.63145,12.287805,0,7936.8639
7.9166667,94.835314,12.231806,0,7951.7888
7.9333333,95.038242,12.175694,0,7966.3819
7.95,95.240233,12.119473,0,7980.6446
7.9666667,95.441286,12.063144,0,7994.5781
7.9833333,95.641398,12.006711,0,8008.1839
8,95.840567,11.950175,0,8021.4631
8.0166667,96.038793,11.893539,0,8034.4173
8.0333333,96.236073,11.836807,0,8047.0476
8.05,96.432406,11.779979,0,8059.3556
8.0666667,96.62779,11.723059,0,8071.3424
8.0833333,96.822224,11.66605,0,8083.0095
8.1,97.015707,11.608953,0,8094.3582
8.1166667,97.208236,11.551771,0,8105.3899
8.1333333,97.399812,11.494506,0,8116.1059
8.15,97.590431,11.437161,0,8126.5077
8.1666667,97.780093,11.379739,0,8136.5965
8.1833333,97.968797,11.322241,0,8146.3738
8.2,98.156542,11.264671,0,8155.8409
8.2166667,98.343326,11.20703,0,8164.9992
8.2333333,98.529148,11.149321,0,8173.8501
8.25,98.714007,11.091546,0,8182.395
8.2666667,98.897902,11.033707,0,8190.6353
8.2833333,99.080832,10.975808,0,8198.5723
8.3,99.262796,10.917849,0,8206.2074
8.3166667,99.443793,10.859835,0,8213.5421
8.3333333,99.623823,10.801766,0,8220.5778
8.35,99.802884,10.743645,0,8227.3157
8.3666667,99.980975,10.685474,0,8233.7575
8.3833333,100.1581,10.627257,0,8239.9044
8.4,100.33425,10.568994,0,8245.7578
8.4166667,100.50942,10.510688,0,8251.3193
8.4333333,100.68363,10.452342,0,8256.5901
8.45,100.85686,10.393957,0,8261.5717
8.4666667,101.02912,10.335536,0,8266.2656
8.4833333,101.20041,10.277081,0,8270.6731
8.5,101.37072,10.218595,0,8274.7956
8.5166667,101.54005,10.160079,0,8278.6347
8.5333333,101.70841,10.101535,0,8282.1917
8.55,101.87579,10.042967,0,8285.468
8.5666667,102.0422,9.984375,0,8288.4651
8.5833333,102.20763,9.9257623,0,8291.1844
8.6,102.37208,9.8671308,0,8293.6273
8.6166667,102.53555,9.8084826,0,8295.7953
8.6333333,102.69805,9.7498199,0,8297.6898
8.65,102.85957,9.6911446,0,8299.3123
8.6666667,103.02011,9.6324589,0,8300.6642
8.6833333,103.17967,9.5737649,0,8301.7469
8.7,103.33826,9.5150646,0,8302.5618
8.7166667,103.49586,9.4563601,0,8303.1105
8.7333333,103.65249,9.3976534,0,8303.3943
8.75,103.80814,9.3389465,0,8303.4147
8.7666667,103.96281,9.2802415,0,8303.1732
8.7833333,104.1165,9.2215404,0,8302.6712
8.8,104.26922,9.1628451,0,8301.9101
8.8166667,104.42095,9.1041576,0,8300.8914
8.8333333,104.57171,9.04548,0,8299.6166
8.85,104.72149,8.9868142,0,8298.087
8.8666667,104.8703,8.9281621,0,8296.3043
8.8833333,105.01812,8.8695256,0,8294.2697
8.9,105.16497,8.8109068,0,8291.9847
8.9166667,105.31084,8.7523074,0,8289.4509
8.9333333,105.45574,8.6937295,0,8286.6697
8.95,105.59966,8.6351749,0,8283.6424
8.9666667,105.7426,8.5766455,0,8280.3707
8.9833333,105.88457,8.5181431,0,8276.8558
9,106.02556,8.4596697,0,8273.0994
9.0166667,106.16558,8.4012271,0,8269.1028
9.0333333,106.30463,8.342817,0,8264.8675
9.05,106.44271,8.2844414,0,8260.395
9.0666667,106.57981,8.2261021,0,8255.6867
9.0833333,106.71594,8.1678008,0,8250.744
9.1,106.8511,8.1095394,0,8245.5685
9.1166667,106.98528,8.0513196,0,8240.1616
9.1333333,107.1185,7.9931432,0,8234.5247
9.15,107.25075,7.935012,0,8228.6593
9.1666667,107.38204,7.8769277,0,8222.5669
9.1833333,107.51235,7.818892,0,8216.2489
9.2,107.6417,7.7609067,0,8209.7068
9.2166667,107.77008,7.7029735,0,8202.942
9.2333333,107.8975,7.6450941,0,8195.956
9.25,108.02395,7.5872702,0,8188.7502
9.2666667,108.14945,7.5295035,0,8181.3261
9.2833333,108.27398,7.4717956,0,8173.6852
9.3,108.39755,7.4141482,0,8165.8289
9.3166667,108.52016,7.3565629,0,8157.7586
9.3333333,108.64181,7.2990414,0,8149.4759
9.35,108.7625,7.2415853,0,8140.9821
9.3666667,108.88224,7.1841963,0,8132.2787
9.3833333,109.00102,7.1268758,0,8123.3672
9.4,109.11884,7.0696256,0,8114.249
9.4166667,109.23572,7.0124471,0,8104.9256
9.4333333,109.35164,6.9553421,0,8095.3984
9.45,109.46661,6.8983119,0,8085.6688
9.4666667,109.58063,6.8413582,0,8075.7383
9.4833333,109.69371,6.7844826,0,8065.6084
9.5,109.80584,6.7276864,0,8055.2805
9.5166667,109.91702,6.6709713,0,8044.7561
9.5333333,110.02726,6.6143387,0,8034.0365
9.55,110.13656,6.5577902,0,8023.1232
9.5666667,110.24491,6.5013272,0,8012.0177
